categoria,calendario,calendar_id,candidato_1,score_1,candidato_2,score_2,candidato_3,score_3
ambiguo_empate,Avocado Elementary,c_243c77394a0942e80be0368c833db6fcbeef88294aa5f6ddef902a8b0dd978d0@group.calendar.google.com,Skyway Elementary,0.61,Redland Elementary,0.58,Brentwood Elementary,0.55
ambiguo_empate,North Beach Elementary,c_4eff3a4fefd012e8cb1a2d29719f83074ca1548d27547ce75da3d0d435e26e12@group.calendar.google.com,Skyway Elementary,0.61,Redland Elementary,0.58,Brentwood Elementary,0.55
ambiguo_empate,North Glade Elementary,c_53a1a12d9f1a764e3ced2169fa9fb466dae3cd9519b6ff260d7238bcac471fc5@group.calendar.google.com,Skyway Elementary,0.61,Redland Elementary,0.58,Brentwood Elementary,0.55
ambiguo_empate,Pine Villa Elementary,c_07d26a711db62844b06f1a34581fa1f268b74d8ea44771245c4ace226ef5b9bc@group.calendar.google.com,Skyway Elementary,0.61,Redland Elementary,0.58,Brentwood Elementary,0.55
ambiguo_empate,Redondo Elementary,c_0366a5f70f4a27a7977175eb5e2bb048ce82716684a63438546576cb399c0d66@group.calendar.google.com,Skyway Elementary,0.61,Redland Elementary,0.58,Brentwood Elementary,0.55
ambiguo_empate,South Dade Middle School,c_9512ef3fa0b6aa7d3f99dda9f4be356b847c886fc7c80f23a63a639a860938fc@group.calendar.google.com,Madison Middle School,0.67,Andover Middle School,0.64,Norland Middle School,0.64
candidato_razonable_o_sin_match,Gateway Environmental K-8,c_cbe59817b8f5e6537d19d682155ddcda6ed26faf715ad5115f0f22c83e5bdc9d@group.calendar.google.com,Air Base K-8,0.31,Linda Lentin K-8,0.26,Morningside K-8,0.25
candidato_razonable_o_sin_match,Hebrew Academy (RASG),c_6d55ddb4622fb1fd86a38808cab7e66695611da8c40f9f98cc7925fa2d5302c4@group.calendar.google.com,Bowman Ashe/Doolin K-8 Academy,0.27,Young Men's Preparatory Academy,0.25,Charles R. Drew K-8,0.11
candidato_razonable_o_sin_match,Mandarin Lakes K-8,c_b090ab8ea75e13089d3f603b72f046563adb95dd1931076ddcbfcdcad0541fab@group.calendar.google.com,Air Base K-8,0.31,Linda Lentin K-8,0.29,Charles R. Drew K-8,0.26
candidato_razonable_o_sin_match,Mater Beach Academy,c_e3881bfb1935a3f7f3fa08073d31a02d5473ca580b1fa34a8e4b0bd5a9720600@group.calendar.google.com,Bowman Ashe/Doolin K-8 Academy,0.27,Miami Beach Senior High,0.25,Young Men's Preparatory Academy,0.25
candidato_razonable_o_sin_match,Miami Central High School,c_13b90274d70f9e56e3af3550ad958fb4b4216a74570abcc9e9fe7052a248fa34@group.calendar.google.com,Miami Carol City Senior High School,0.47,North Miami MS,0.43,Southridge Senior High School,0.43
candidato_razonable_o_sin_match,Miami Central High School,c_444f65e2cf79af6c7a76e810a22da372ce10eb12396e03b8c3e207b3ad270468@group.calendar.google.com,Miami Carol City Senior High School,0.47,North Miami MS,0.43,Southridge Senior High School,0.43
candidato_razonable_o_sin_match,Robert Renick Educational Center,c_e1c272a8db396069b46f3e1dd856fcd6debb89e4713153e193b69247ae517238@group.calendar.google.com,Edison Park K-8 Center,0.30,North County K-8 Center,0.30,Jane S. Roberts K-8 Center,0.29
candidato_razonable_o_sin_match,SEED School of Miami,c_8ff0aa3e74106277ce88ffdab3162fde398527e90c2fd8e019765b5b6be488be@group.calendar.google.com,North Miami MS,0.43,Madison Middle School,0.38,Miami Carol City Senior High School,0.36
escuela_ya_vinculada,Dr. William Chapman Elementary,c_6da4718d75c1afbfa4cb558b8dcf4f733fb4d53dd85defb761612576306b41fd@group.calendar.google.com,Dr. William Chapman Elementary,1.00,Skyway Elementary,0.61,Redland Elementary,0.58
escuela_ya_vinculada,South Dade Senior High,c_60a3028dc12f0be60f3c7119c6a8f0cc3a8da955012b2396364b0227ced3e188@group.calendar.google.com,South Dade Senior High,1.00,Hialeah Senior High,0.67,Miami Beach Senior High,0.50
escuela_ya_vinculada,Treasure Island Elementary,c_14f8ee6dee5a827b86aac3ae58c441e04861c8ac5568900b46a23d31212f8c6a@group.calendar.google.com,Redland Elementary,0.74,Skyway Elementary,0.61,Brentwood Elementary,0.55
